*OBS	LFP
419	0
420	0
421	0
422	1
423	0
424	1
425	0
426	1
427	0
428	1
429	0
430	1
431	0
432	0
433	0
434	1
435	0
436	1
437	0
438	0
439	0
440	1
441	1
442	0
443	1
444	1
445	1
446	1
447	0
448	0
449	0
450	0
451	1
452	1
453	0
454	1
455	1
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	1
464	1
465	0
466	0
467	1
468	1
469	0
470	1
471	0
472	1
473	0
474	0
475	1
476	1
477	0
478	0
479	0
480	1
481	1
482	1
483	1
484	0
485	0
486	1
487	0
488	0
489	1
490	0
491	0
492	0
493	1
494	0
495	1
496	1
497	1
498	1
499	1
500	1
501	1
502	0
503	0
504	0
505	0
506	1
507	1
508	0
509	0
510	1
511	1
512	1
513	0
514	1
515	0
516	0
517	1
518	1
519	1
520	1
521	1
522	1
523	0
524	1
525	1
526	0
527	0
528	0
529	1
530	1
531	0
532	1
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	1
541	1
542	1
543	1
544	1
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	1
559	0
560	1
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	1
575	0
576	0
577	0
578	0
579	0
580	1
581	0
582	0
583	1
584	0
585	1
586	0
587	0
588	1
589	1
590	0
591	0
592	0
593	0
594	0
595	0
596	1
597	0
598	0
599	0
600	0
601	1
602	1
603	1
604	0
605	0
606	1
607	0
608	1
609	0
610	0
611	0
612	1
613	0
614	0
615	1
616	1
617	0
618	0
619	1
620	0
621	0
622	0
623	1
624	0
625	0
626	0
627	0
628	0
629	1
630	0
631	0
632	0
633	0
634	1
635	1
636	1
637	0
638	0
639	1
640	1
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	1
655	0
656	0
657	1
658	1
659	1
660	1
661	1
662	0
663	0
664	1
665	1
666	1
667	1
668	1
669	0
670	1
671	1
672	1
673	1
674	0
675	1
676	0
677	1
678	1
679	0
680	1
681	1
682	1
683	1
684	1
685	1
686	0
687	1
688	1
689	0
690	0
691	0
692	1
693	1
694	1
695	1
696	1
697	1
698	1
699	1
700	0
701	1
702	1
703	1
704	1
705	1
706	1
707	1
708	1
709	1
710	0
711	0
712	1
713	0
714	1
715	0
716	1
717	1
718	0
719	1
720	1
721	0
722	1
723	1
724	1
725	1
726	0
727	1
728	0
729	1
730	1
731	0
732	0
733	1
734	1
735	0
736	1
737	1
738	1
739	0
740	1
741	1
742	0
743	0
744	1
745	1
746	1
747	1
748	1
749	1
750	1
751	1
752	0
753	1
754	0
755	0
756	1
757	1
758	0
759	1
760	1
761	1
762	1
763	1
764	1
765	1
766	1
767	1
768	1
769	0
770	0
771	0
772	1
773	1
774	1
775	0
776	0
777	0
778	1
779	1
780	1
781	0
782	0
783	1
784	1
785	1
786	1
787	1
788	1
789	1
790	1
791	1
792	1
793	1
794	1
795	1
796	1
797	1
798	1
799	0
800	0
801	0
802	0
803	1
804	1
805	1
806	0
807	1
808	0
809	1
810	1
811	1
812	1
813	0
814	1
815	1
816	1
817	0
818	0
819	0
820	1
821	0
822	0
823	0
824	1
825	1
826	1
827	1
828	0
829	0
830	1
831	0
832	1
833	0
834	1
835	1
836	0
837	0
838	1
839	1
840	0
841	1
842	1
843	1
844	1
845	1
846	0
847	0
848	1
849	0
850	1
851	1
852	1
853	1
854	0
855	0
856	1
857	1
858	0
859	1
860	1
861	1
862	1
863	0
864	0
865	0
866	1
867	1
868	0
869	1
870	0
871	1
872	0
